 SIGMA Mw France metropolitaine

Weigth	C1	C2	Beta	Gamma

0.0625	3.297	1.306	-2.997	0.00E+00
0.0625	2.378	1.544	-3.078	0.00E+00
0.0625	3.237	1.387	-3.258	-1.21E-03
0.0625	2.188	1.574	-3.048	-4.11E-03
0.0625	3.052	1.285	-2.742	-1.67E-03
0.0625	1.789	1.613	-2.939	0.00E+00
0.0625	2.947	1.388	-3.058	-1.64E-03
0.0625	1.411	1.682	-2.948	-2.68E-03
0.0625	3.064	1.221	-2.478	-6.40E-03
0.0625	2.475	1.507	-2.978	-3.94E-03
0.0625	3.321	1.362	-3.225	-1.75E-03
0.0625	2.327	1.590	-3.243	-1.98E-03
0.0625	2.902	1.218	-2.348	-6.59E-03
0.0625	2.066	1.553	-2.861	-4.05E-03
0.0625	3.071	1.363	-3.052	-2.09E-03
0.0625	1.579	1.689	-3.116	-1.07E-03
