 SIGMA Mw France metropolitaine

Weigth	C1	C2	Beta	Gamma

0.0625	3.608	1.241	-3.039	0.00E+00
0.0625	2.649	1.502	-3.179	0.00E+00
0.0625	3.411	1.325	-3.225	-1.11E-03
0.0625	2.397	1.542	-3.157	-1.21E-03
0.0625	3.317	1.223	-2.754	0.00E+00
0.0625	2.025	1.575	-3.019	0.00E+00
0.0625	3.089	1.327	-2.996	0.00E+00
0.0625	1.589	1.656	-3.046	0.00E+00
0.0625	3.533	1.167	-2.681	-3.56E-03
0.0625	2.832	1.459	-3.123	-1.28E-03
0.0625	3.515	1.315	-3.263	0.00E+00
0.0625	2.524	1.567	-3.383	0.00E+00
0.0625	3.312	1.161	-2.494	-4.15E-03
0.0625	2.386	1.506	-2.978	-1.67E-03
0.0625	3.230	1.318	-3.065	0.00E+00
0.0625	1.748	1.672	-3.247	0.00E+00
