,NumEvt,Bin_method,C1,C2,Beta,Gamma,Mag,StdM,H,StdH,Io
1,640001,RAVG,3.297,1.306,-2.997,0.0,5.07463912635112,[0.18103684],3.501903137127007,[6.68160671],8.2817322310284
2,640001,RAVG,2.378,1.544,-3.078,0.0,4.975577278049927,[0.1531309],4.1690284567496025,[6.76894049],8.148834629361405
3,640001,RAVG,3.237,1.387,-3.258,-0.00121,5.18698876991511,[0.17046439],5.879894852709742,[6.32531778],7.909088466114233
4,640001,RAVG,2.188,1.574,-3.048,-0.00411,5.120632226766452,[0.15021227],5.986523460710385,[6.59731137],7.849042899549509
5,640001,RAVG,3.052,1.285,-2.742,-0.00167,5.099661811506602,[0.18399542],3.0734912086746435,[6.86920955],8.254636906748937
6,640001,RAVG,1.789,1.613,-2.939,0.0,4.986463283654334,[0.14658036],3.329715327185675,[6.68906728],8.285188320460025
7,640001,RAVG,2.947,1.388,-3.058,-0.00164,5.164969954742994,[0.17034158],4.564334218265556,[6.79435657],8.089239082924609
8,640001,RAVG,1.411,1.682,-2.948,-0.00268,5.10264113097756,[0.14056725],4.436342925289461,[6.99149993],8.071656742281181
9,640001,RAVG,3.064,1.221,-2.478,-0.0064,5.212586924484267,[0.19363973],3.2214071693797592,[7.5799246],8.145569299152863
10,640001,RAVG,2.475,1.507,-2.978,-0.00394,5.066957411325224,[0.15689059],4.955041956211273,[6.86567535],8.019330328216306
11,640001,RAVG,3.321,1.362,-3.225,-0.00175,5.202809267718307,[0.17359333],5.923634994965675,[6.36013224],7.897392358728868
12,640001,RAVG,2.327,1.59,-3.243,-0.00198,5.108677368723843,[0.1487007],6.074116722121845,[6.29934756],7.88956191613748
13,640001,RAVG,2.902,1.218,-2.348,-0.00659,5.196190548149556,[0.19411668],2.7287740550185644,[7.35443227],8.184624722442909
14,640001,RAVG,2.066,1.553,-2.861,-0.00405,5.0614701516851595,[0.15224347],4.502700979317982,[7.14139304],8.036268820776131
15,640001,RAVG,3.071,1.363,-3.052,-0.00209,5.179458014723972,[0.17346597],4.6764373533550385,[6.79149349],8.073457472172588
16,640001,RAVG,1.579,1.689,-3.116,-0.00107,5.09196683203915,[0.13998467],4.623393968514481,[6.69467406],8.099372734415143
17,640001,ROBS,3.608,1.241,-3.039,0.0,5.184013982142745,[0.16033163],2.785523913035896,[4.64708801],8.487412476872422
18,640001,ROBS,2.649,1.502,-3.179,0.0,5.068859943620631,[0.13247107],3.5227341287077416,[4.41536974],8.44238722194325
19,640001,ROBS,3.411,1.325,-3.225,-0.00111,5.279269253530874,[0.15016721],4.5825232573778205,[4.11908235],8.253896964728222
20,640001,ROBS,2.397,1.542,-3.157,-0.00121,5.117849951002723,[0.12903473],3.7514479074821923,[4.37615011],8.416212573716516
21,640001,ROBS,3.317,1.223,-2.754,0.0,5.144739984363439,[0.16269137],1.8161332038720668,[4.33911474],8.498182386787855
22,640001,ROBS,2.025,1.575,-3.019,0.0,5.070023890552917,[0.12633114],2.691436937114447,[4.65759338],8.490031290966094
23,640001,ROBS,3.089,1.327,-2.996,0.0,5.189745548119586,[0.14994088],2.6461175702688906,[4.68058292],8.489542135921914
24,640001,ROBS,1.589,1.656,-3.046,0.0,5.110427264583645,[0.1201519],2.7989008177923336,[4.63865424],8.487621992577557
25,640001,ROBS,3.533,1.167,-2.681,-0.00356,5.254556311440655,[0.17049833],2.2900796767327147,[4.96541446],8.488279931809862
26,640001,ROBS,2.832,1.459,-3.123,-0.00128,5.076808476097075,[0.13637529],3.6361403894524464,[4.44470893],8.423040351705307
27,640001,ROBS,3.515,1.315,-3.263,0.0,5.233966511938949,[0.15130916],4.000018835553086,[4.21177916],8.390238788164359
28,640001,ROBS,2.524,1.567,-3.383,0.0,5.153551380857521,[0.1269761],4.901739267700477,[3.89989231],8.2493472132475
29,640001,ROBS,3.312,1.161,-2.494,-0.00415,5.253185770893952,[0.17137946],1.7950481416137587,[4.7034505],8.494233677851089
30,640001,ROBS,2.386,1.506,-2.978,-0.00167,5.073742732987274,[0.13211922],2.8787509169074945,[4.72068475],8.483472688013277
31,640001,ROBS,3.23,1.318,-3.065,0.0,5.197578411024474,[0.15096476],2.835917623277276,[4.61533604],8.488135213230533
32,640001,ROBS,1.748,1.672,-3.247,0.0,5.158528806208823,[0.11900212],3.95885276831127,[4.24088843],8.389796947382388
33,640001,ROBS,4.81,1.27,-3.87,0.0,5.227172590761085,[0.15667051],8.41962651684222,[3.31761775],7.861269534923178
34,640001,ROBS,4.66,1.27,-3.83,0.0,5.294321175363062,[0.15667051],8.307586384082606,[3.34646444],7.855536648286711
