NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.63
Barycenter M:5.19
Barycenter H:7.78
H[km]	Mag	PDF
1.8062	8.0606	0.000015
1.8062	8.1616	0.000055
1.8062	8.2626	0.000101
1.8062	8.3636	0.000172
1.8062	8.4646	0.000121
1.9288	8.2626	0.000038
1.9288	8.3636	0.000076
1.9288	8.4646	0.000129
2.0598	8.2626	0.000107
2.0598	8.3636	0.000180
2.0598	8.4646	0.000329
2.1996	8.3636	0.000059
2.1996	8.4646	0.000119
2.5085	8.1616	0.000112
2.5085	8.2626	0.000162
2.5085	8.3636	0.000407
2.5085	8.4646	0.000349
2.6788	7.7576	0.000038
2.6788	7.8586	0.000077
2.6788	7.9596	0.000203
2.6788	8.0606	0.000402
2.6788	8.1616	0.000603
2.6788	8.2626	0.001195
2.6788	8.3636	0.001653
2.6788	8.4646	0.001724
2.8607	7.8586	0.000038
2.8607	7.9596	0.000077
2.8607	8.0606	0.000155
2.8607	8.1616	0.000392
2.8607	8.2626	0.000623
2.8607	8.3636	0.001258
2.8607	8.4646	0.001642
3.0549	7.7576	0.000056
3.0549	7.8586	0.000136
3.0549	7.9596	0.000401
3.0549	8.0606	0.000570
3.0549	8.1616	0.000614
3.0549	8.2626	0.000767
3.0549	8.3636	0.000682
3.0549	8.4646	0.000357
3.2623	7.8586	0.000057
3.2623	7.9596	0.000116
3.2623	8.0606	0.000652
3.2623	8.1616	0.001111
3.2623	8.2626	0.001954
3.2623	8.3636	0.002088
3.2623	8.4646	0.002016
3.4838	7.4545	0.000038
3.4838	7.5556	0.000076
3.4838	7.6566	0.000168
3.4838	7.7576	0.000383
3.4838	7.8586	0.000601
3.4838	7.9596	0.000976
3.4838	8.0606	0.001098
3.4838	8.1616	0.001326
3.4838	8.2626	0.002027
3.4838	8.3636	0.002302
3.4838	8.4646	0.002551
3.7204	7.5556	0.000060
3.7204	7.6566	0.000155
3.7204	7.7576	0.000391
3.7204	7.8586	0.000602
3.7204	7.9596	0.001247
3.7204	8.0606	0.001402
3.7204	8.1616	0.001740
3.7204	8.2626	0.002145
3.7204	8.3636	0.002153
3.7204	8.4646	0.001708
3.9730	7.5556	0.000054
3.9730	7.6566	0.000164
3.9730	7.7576	0.000418
3.9730	7.8586	0.001022
3.9730	7.9596	0.001834
3.9730	8.0606	0.003104
3.9730	8.1616	0.004392
3.9730	8.2626	0.005342
3.9730	8.3636	0.004688
3.9730	8.4646	0.003684
4.2427	7.3535	0.000015
4.2427	7.4545	0.000122
4.2427	7.5556	0.000379
4.2427	7.6566	0.000555
4.2427	7.7576	0.000780
4.2427	7.8586	0.001073
4.2427	7.9596	0.000913
4.2427	8.0606	0.000944
4.2427	8.1616	0.000693
4.2427	8.2626	0.000567
4.2427	8.3636	0.000658
4.2427	8.4646	0.000405
4.5308	7.2525	0.000052
4.5308	7.3535	0.000186
