NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.63
Barycenter M:5.19
Barycenter H:7.78
H[km]	Mag	PDF
2.6788	4.6441	0.000031
3.4838	4.6441	0.000016
3.7204	4.6441	0.000016
4.2427	4.6441	0.000016
4.5308	4.6441	0.000016
5.1670	4.6441	0.000015
5.5178	4.6441	0.000016
5.8924	4.6441	0.000015
6.2925	4.6441	0.000015
6.7197	4.6441	0.000014
7.1760	4.6441	0.000014
7.6632	4.6441	0.000013
8.1835	4.6441	0.000025
8.7392	4.6441	0.000012
9.3325	4.6441	0.000011
9.9662	4.6441	0.000011
1.8062	4.7458	0.000038
2.6788	4.7458	0.000317
2.8607	4.7458	0.000074
3.4838	4.7458	0.000216
3.7204	4.7458	0.000180
4.2427	4.7458	0.000214
4.5308	4.7458	0.000104
4.8384	4.7458	0.000077
5.1670	4.7458	0.000209
5.5178	4.7458	0.000178
5.8924	4.7458	0.000200
6.2925	4.7458	0.000099
6.7197	4.7458	0.000264
7.1760	4.7458	0.000094
7.6632	4.7458	0.000247
8.1835	4.7458	0.000199
8.7392	4.7458	0.000198
9.3325	4.7458	0.000197
9.9662	4.7458	0.000142
10.6429	4.7458	0.000106
11.3655	4.7458	0.000015
1.8062	4.8475	0.000070
1.9288	4.8475	0.000038
2.0598	4.8475	0.000113
2.5085	4.8475	0.000112
2.6788	4.8475	0.001035
2.8607	4.8475	0.000990
3.0549	4.8475	0.000109
3.2623	4.8475	0.000362
3.4838	4.8475	0.001271
3.7204	4.8475	0.001029
3.9730	4.8475	0.001142
4.2427	4.8475	0.000464
4.5308	4.8475	0.001729
4.8384	4.8475	0.000574
5.1670	4.8475	0.001419
5.5178	4.8475	0.001410
5.8924	4.8475	0.001119
6.2925	4.8475	0.001498
6.7197	4.8475	0.001139
7.1760	4.8475	0.001358
7.6632	4.8475	0.001354
8.1835	4.8475	0.001546
8.7392	4.8475	0.001195
9.3325	4.8475	0.001379
9.9662	4.8475	0.001195
10.6429	4.8475	0.000924
11.3655	4.8475	0.000752
12.1372	4.8475	0.000255
1.8062	4.9492	0.000101
1.9288	4.9492	0.000134
2.0598	4.9492	0.000107
2.1996	4.9492	0.000109
2.5085	4.9492	0.000276
2.6788	4.9492	0.001502
2.8607	4.9492	0.001171
3.0549	4.9492	0.000373
3.2623	4.9492	0.001342
3.4838	4.9492	0.003121
3.7204	4.9492	0.002314
3.9730	4.9492	0.003766
4.2427	4.9492	0.000872
4.5308	4.9492	0.004829
4.8384	4.9492	0.001674
5.1670	4.9492	0.005202
5.5178	4.9492	0.003474
5.8924	4.9492	0.004455
6.2925	4.9492	0.004055
6.7197	4.9492	0.004580
7.1760	4.9492	0.005423
7.6632	4.9492	0.003438
8.1835	4.9492	0.005876
8.7392	4.9492	0.004728
9.3325	4.9492	0.005478
9.9662	4.9492	0.004739
