NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.96
Barycenter M:5.19
Barycenter H:6.08
H[km]	Mag	Io	PDF
12.9612	4.9492	6.8485	0.000036
12.9612	5.0508	6.8485	0.000090
12.1372	4.9492	6.9495	0.000130
12.1372	5.0508	6.9495	0.000404
12.9612	5.0508	6.9495	0.000234
12.1372	5.1525	6.9495	0.000114
12.9612	5.1525	6.9495	0.000318
8.7392	4.9492	7.0505	0.000032
11.3655	4.9492	7.0505	0.000240
11.3655	5.0508	7.0505	0.000552
12.1372	5.0508	7.0505	0.000970
12.9612	5.0508	7.0505	0.000136
11.3655	5.1525	7.0505	0.000222
12.1372	5.1525	7.0505	0.001250
12.9612	5.1525	7.0505	0.000543
12.9612	5.2542	7.0505	0.000435
7.6632	4.9492	7.1515	0.000012
8.1835	4.9492	7.1515	0.000091
8.7392	4.9492	7.1515	0.000075
10.6429	4.9492	7.1515	0.000170
8.1835	5.0508	7.1515	0.000013
8.7392	5.0508	7.1515	0.000072
10.6429	5.0508	7.1515	0.000677
11.3655	5.0508	7.1515	0.002006
12.1372	5.0508	7.1515	0.000289
11.3655	5.1525	7.1515	0.001876
12.1372	5.1525	7.1515	0.002466
12.9612	5.1525	7.1515	0.000484
12.1372	5.2542	7.1515	0.001458
12.9612	5.2542	7.1515	0.000783
12.9612	5.3559	7.1515	0.000265
7.1760	4.8475	7.2525	0.000017
7.6632	4.9492	7.2525	0.000214
8.1835	4.9492	7.2525	0.000125
9.9662	4.9492	7.2525	0.000231
10.6429	4.9492	7.2525	0.000203
7.6632	5.0508	7.2525	0.000071
8.1835	5.0508	7.2525	0.000225
8.7392	5.0508	7.2525	0.000169
9.9662	5.0508	7.2525	0.000738
10.6429	5.0508	7.2525	0.002226
11.3655	5.0508	7.2525	0.000514
8.7392	5.1525	7.2525	0.000055
9.9662	5.1525	7.2525	0.000432
10.6429	5.1525	7.2525	0.001498
11.3655	5.1525	7.2525	0.004315
12.1372	5.1525	7.2525	0.001029
11.3655	5.2542	7.2525	0.002764
12.1372	5.2542	7.2525	0.003716
12.9612	5.2542	7.2525	0.000749
12.1372	5.3559	7.2525	0.000773
12.9612	5.3559	7.2525	0.000689
5.8924	4.8475	7.3535	0.000011
6.2925	4.8475	7.3535	0.000034
6.7197	4.8475	7.3535	0.000026
5.8924	4.9492	7.3535	0.000020
6.2925	4.9492	7.3535	0.000061
6.7197	4.9492	7.3535	0.000049
7.1760	4.9492	7.3535	0.000292
7.6632	4.9492	7.3535	0.000218
8.1835	4.9492	7.3535	0.000036
9.3325	4.9492	7.3535	0.000253
7.1760	5.0508	7.3535	0.000033
7.6632	5.0508	7.3535	0.000594
8.1835	5.0508	7.3535	0.000330
8.7392	5.0508	7.3535	0.000107
9.3325	5.0508	7.3535	0.001008
9.9662	5.0508	7.3535	0.001853
10.6429	5.0508	7.3535	0.001353
7.6632	5.1525	7.3535	0.000059
8.1835	5.1525	7.3535	0.000180
8.7392	5.1525	7.3535	0.000346
9.9662	5.1525	7.3535	0.003481
10.6429	5.1525	7.3535	0.004607
11.3655	5.1525	7.3535	0.002563
10.6429	5.2542	7.3535	0.002053
11.3655	5.2542	7.3535	0.006869
12.1372	5.2542	7.3535	0.001936
11.3655	5.3559	7.3535	0.001503
12.1372	5.3559	7.3535	0.002798
12.9612	5.3559	7.3535	0.000508
12.1372	5.4576	7.3535	0.000254
12.9612	5.4576	7.3535	0.000411
5.5178	4.8475	7.4545	0.000039
5.8924	4.8475	7.4545	0.000043
6.2925	4.8475	7.4545	0.000072
5.5178	4.9492	7.4545	0.000034
5.8924	4.9492	7.4545	0.000264
6.2925	4.9492	7.4545	0.000408
6.7197	4.9492	7.4545	0.000516
7.1760	4.9492	7.4545	0.000206
8.7392	4.9492	7.4545	0.000264
9.3325	4.9492	7.4545	0.000264
6.2925	5.0508	7.4545	0.000120
6.7197	5.0508	7.4545	0.000158
7.1760	5.0508	7.4545	0.000694
7.6632	5.0508	7.4545	0.000720
8.1835	5.0508	7.4545	0.000205
8.7392	5.0508	7.4545	0.000265
9.3325	5.0508	7.4545	0.003842
9.9662	5.0508	7.4545	0.000875
7.6632	5.1525	7.4545	0.000698
8.1835	5.1525	7.4545	0.000543
8.7392	5.1525	7.4545	0.000208
9.3325	5.1525	7.4545	0.002795
9.9662	5.1525	7.4545	0.004368
10.6429	5.1525	7.4545	0.005063
8.1835	5.2542	7.4545	0.000128
8.7392	5.2542	7.4545	0.000290
9.9662	5.2542	7.4545	0.005187
10.6429	5.2542	7.4545	0.004941
11.3655	5.2542	7.4545	0.003501
10.6429	5.3559	7.4545	0.001251
11.3655	5.3559	7.4545	0.005177
12.1372	5.3559	7.4545	0.001714
11.3655	5.4576	7.4545	0.000493
12.1372	5.4576	7.4545	0.001394
12.9612	5.4576	7.4545	0.000311
12.9612	5.5593	7.4545	0.000090
5.1670	4.7458	7.5556	0.000012
4.5308	4.8475	7.5556	0.000012
5.1670	4.8475	7.5556	0.000080
5.5178	4.8475	7.5556	0.000033
5.8924	4.8475	7.5556	0.000039
3.9730	4.9492	7.5556	0.000012
4.2427	4.9492	7.5556	0.000009
5.1670	4.9492	7.5556	0.000100
5.5178	4.9492	7.5556	0.000482
5.8924	4.9492	7.5556	0.000603
6.2925	4.9492	7.5556	0.000831
6.7197	4.9492	7.5556	0.000079
8.1835	4.9492	7.5556	0.000253
4.2427	5.0508	7.5556	0.000013
5.5178	5.0508	7.5556	0.000050
5.8924	5.0508	7.5556	0.000322
6.2925	5.0508	7.5556	0.000908
6.7197	5.0508	7.5556	0.001179
7.1760	5.0508	7.5556	0.000773
7.6632	5.0508	7.5556	0.000108
8.1835	5.0508	7.5556	0.000631
8.7392	5.0508	7.5556	0.002117
9.3325	5.0508	7.5556	0.001765
6.2925	5.1525	7.5556	0.000091
6.7197	5.1525	7.5556	0.000130
7.1760	5.1525	7.5556	0.000750
7.6632	5.1525	7.5556	0.001343
8.1835	5.1525	7.5556	0.000508
8.7392	5.1525	7.5556	0.001369
9.3325	5.1525	7.5556	0.009709
9.9662	5.1525	7.5556	0.003116
7.6632	5.2542	7.5556	0.000365
8.1835	5.2542	7.5556	0.000409
8.7392	5.2542	7.5556	0.000157
9.3325	5.2542	7.5556	0.003060
9.9662	5.2542	7.5556	0.008024
10.6429	5.2542	7.5556	0.006688
8.1835	5.3559	7.5556	0.000056
8.7392	5.3559	7.5556	0.000131
9.9662	5.3559	7.5556	0.002921
10.6429	5.3559	7.5556	0.004206
11.3655	5.3559	7.5556	0.003083
11.3655	5.4576	7.5556	0.002602
12.1372	5.4576	7.5556	0.001016
12.9612	5.4576	7.5556	0.000036
12.1372	5.5593	7.5556	0.000325
4.5308	4.7458	7.6566	0.000025
4.8384	4.7458	7.6566	0.000044
5.1670	4.7458	7.6566	0.000018
4.2427	4.8475	7.6566	0.000041
4.5308	4.8475	7.6566	0.000057
4.8384	4.8475	7.6566	0.000085
5.1670	4.8475	7.6566	0.000199
5.5178	4.8475	7.6566	0.000049
3.4838	4.9492	7.6566	0.000037
3.7204	4.9492	7.6566	0.000022
3.9730	4.9492	7.6566	0.000017
4.8384	4.9492	7.6566	0.000284
5.1670	4.9492	7.6566	0.000848
5.5178	4.9492	7.6566	0.000736
5.8924	4.9492	7.6566	0.000708
6.2925	4.9492	7.6566	0.000339
8.1835	4.9492	7.6566	0.000231
3.9730	5.0508	7.6566	0.000069
4.2427	5.0508	7.6566	0.000079
5.1670	5.0508	7.6566	0.000148
5.5178	5.0508	7.6566	0.000796
5.8924	5.0508	7.6566	0.001574
6.2925	5.0508	7.6566	0.001726
6.7197	5.0508	7.6566	0.000580
7.6632	5.0508	7.6566	0.000578
8.1835	5.0508	7.6566	0.002948
8.7392	5.0508	7.6566	0.000999
5.8924	5.1525	7.6566	0.000300
6.2925	5.1525	7.6566	0.000852
6.7197	5.1525	7.6566	0.001060
7.1760	5.1525	7.6566	0.001230
7.6632	5.1525	7.6566	0.000603
8.1835	5.1525	7.6566	0.002398
8.7392	5.1525	7.6566	0.004989
9.3325	5.1525	7.6566	0.006826
7.1760	5.2542	7.6566	0.000325
7.6632	5.2542	7.6566	0.001299
8.1835	5.2542	7.6566	0.000288
8.7392	5.2542	7.6566	0.001570
9.3325	5.2542	7.6566	0.012425
9.9662	5.2542	7.6566	0.004817
10.6429	5.2542	7.6566	0.001304
7.6632	5.3559	7.6566	0.000220
8.1835	5.3559	7.6566	0.000213
8.7392	5.3559	7.6566	0.000101
9.3325	5.3559	7.6566	0.001863
9.9662	5.3559	7.6566	0.007282
10.6429	5.3559	7.6566	0.003539
8.7392	5.4576	7.6566	0.000017
9.9662	5.4576	7.6566	0.000959
10.6429	5.4576	7.6566	0.002431
11.3655	5.4576	7.6566	0.001830
12.1372	5.4576	7.6566	0.000076
11.3655	5.5593	7.6566	0.000463
4.5308	4.7458	7.7576	0.000120
3.4838	4.8475	7.7576	0.000019
3.9730	4.8475	7.7576	0.000105
4.2427	4.8475	7.7576	0.000332
4.5308	4.8475	7.7576	0.000284
4.8384	4.8475	7.7576	0.000267
5.1670	4.8475	7.7576	0.000103
3.0549	4.9492	7.7576	0.000082
3.2623	4.9492	7.7576	0.000042
3.4838	4.9492	7.7576	0.000081
4.5308	4.9492	7.7576	0.000383
4.8384	4.9492	7.7576	0.001106
5.1670	4.9492	7.7576	0.001128
5.5178	4.9492	7.7576	0.000592
5.8924	4.9492	7.7576	0.000205
7.6632	4.9492	7.7576	0.000203
3.2623	5.0508	7.7576	0.000036
3.4838	5.0508	7.7576	0.000191
3.7204	5.0508	7.7576	0.000141
3.9730	5.0508	7.7576	0.000228
4.8384	5.0508	7.7576	0.000435
5.1670	5.0508	7.7576	0.001250
5.5178	5.0508	7.7576	0.002041
5.8924	5.0508	7.7576	0.002139
6.2925	5.0508	7.7576	0.001420
7.6632	5.0508	7.7576	0.001238
8.1835	5.0508	7.7576	0.002037
3.9730	5.1525	7.7576	0.000058
4.2427	5.1525	7.7576	0.000093
5.5178	5.1525	7.7576	0.000742
5.8924	5.1525	7.7576	0.001728
6.2925	5.1525	7.7576	0.002608
6.7197	5.1525	7.7576	0.001765
7.1760	5.1525	7.7576	0.000648
7.6632	5.1525	7.7576	0.002583
8.1835	5.1525	7.7576	0.005441
8.7392	5.1525	7.7576	0.003559
5.8924	5.2542	7.7576	0.000089
6.2925	5.2542	7.7576	0.000372
6.7197	5.2542	7.7576	0.000810
7.1760	5.2542	7.7576	0.001096
7.6632	5.2542	7.7576	0.000597
8.1835	5.2542	7.7576	0.003226
8.7392	5.2542	7.7576	0.007459
9.3325	5.2542	7.7576	0.011097
7.1760	5.3559	7.7576	0.000142
7.6632	5.3559	7.7576	0.000696
8.1835	5.3559	7.7576	0.000107
8.7392	5.3559	7.7576	0.000041
9.3325	5.3559	7.7576	0.010078
9.9662	5.3559	7.7576	0.004578
10.6429	5.3559	7.7576	0.000766
7.6632	5.4576	7.7576	0.000036
8.1835	5.4576	7.7576	0.000062
8.7392	5.4576	7.7576	0.000054
9.9662	5.4576	7.7576	0.003760
10.6429	5.4576	7.7576	0.002162
11.3655	5.4576	7.7576	0.000136
10.6429	5.5593	7.7576	0.000424
11.3655	5.5593	7.7576	0.000136
3.9730	4.7458	7.8586	0.000054
4.2427	4.7458	7.8586	0.000108
3.2623	4.8475	7.8586	0.000035
3.4838	4.8475	7.8586	0.000094
3.7204	4.8475	7.8586	0.000280
3.9730	4.8475	7.8586	0.000405
4.2427	4.8475	7.8586	0.000377
4.5308	4.8475	7.8586	0.000572
4.8384	4.8475	7.8586	0.000083
2.6788	4.9492	7.8586	0.000040
2.8607	4.9492	7.8586	0.000083
3.0549	4.9492	7.8586	0.000041
3.2623	4.9492	7.8586	0.000040
3.4838	4.9492	7.8586	0.000041
3.9730	4.9492	7.8586	0.000084
4.2427	4.9492	7.8586	0.000904
4.5308	4.9492	7.8586	0.001533
4.8384	4.9492	7.8586	0.001329
5.1670	4.9492	7.8586	0.000645
5.5178	4.9492	7.8586	0.000214
7.1760	4.9492	7.8586	0.000170
3.0549	5.0508	7.8586	0.000168
3.2623	5.0508	7.8586	0.000174
3.4838	5.0508	7.8586	0.000412
3.7204	5.0508	7.8586	0.000082
4.5308	5.0508	7.8586	0.000214
4.8384	5.0508	7.8586	0.002076
5.1670	5.0508	7.8586	0.002967
5.5178	5.0508	7.8586	0.001719
5.8924	5.0508	7.8586	0.000617
6.2925	5.0508	7.8586	0.000241
7.1760	5.0508	7.8586	0.001037
7.6632	5.0508	7.8586	0.001353
3.2623	5.1525	7.8586	0.000080
3.4838	5.1525	7.8586	0.000297
3.7204	5.1525	7.8586	0.000102
3.9730	5.1525	7.8586	0.000320
4.2427	5.1525	7.8586	0.000058
4.8384	5.1525	7.8586	0.000213
5.1670	5.1525	7.8586	0.001266
5.5178	5.1525	7.8586	0.002655
5.8924	5.1525	7.8586	0.003089
6.2925	5.1525	7.8586	0.002451
6.7197	5.1525	7.8586	0.000369
7.1760	5.1525	7.8586	0.000362
7.6632	5.1525	7.8586	0.004366
8.1835	5.1525	7.8586	0.005662
3.9730	5.2542	7.8586	0.000087
4.2427	5.2542	7.8586	0.000129
5.5178	5.2542	7.8586	0.000248
5.8924	5.2542	7.8586	0.000766
6.2925	5.2542	7.8586	0.002068
6.7197	5.2542	7.8586	0.001288
7.1760	5.2542	7.8586	0.000590
7.6632	5.2542	7.8586	0.002960
8.1835	5.2542	7.8586	0.007363
8.7392	5.2542	7.8586	0.005502
9.3325	5.2542	7.8586	0.001701
6.2925	5.3559	7.8586	0.000189
6.7197	5.3559	7.8586	0.000488
7.1760	5.3559	7.8586	0.000624
7.6632	5.3559	7.8586	0.000338
8.1835	5.3559	7.8586	0.001938
8.7392	5.3559	7.8586	0.005517
9.3325	5.3559	7.8586	0.008084
7.6632	5.4576	7.8586	0.000175
8.1835	5.4576	7.8586	0.000043
9.3325	5.4576	7.8586	0.004873
9.9662	5.4576	7.8586	0.002673
10.6429	5.4576	7.8586	0.000505
9.9662	5.5593	7.8586	0.000852
3.7204	4.7458	7.9596	0.000065
3.9730	4.7458	7.9596	0.000080
3.0549	4.8475	7.9596	0.000171
3.2623	4.8475	7.9596	0.000052
3.4838	4.8475	7.9596	0.000207
