,EVID,Depi,I,Io,QIo,StdI,StdlogR,Ndata
0,640001.0,6.893555566255388,7.5,7.5,0.5,0.5020458146424487,0.02286642299700887,2.0
1,640001.0,9.458988486043422,7.0,7.5,0.5,0.30038605420554976,0.08582458691587136,30.0
2,640001.0,21.950774726129193,6.5,7.5,0.5,0.4719732021711812,0.1348494863346232,36.0
3,640001.0,27.725119626557557,5.999999999999995,7.5,0.5,0.5631071554374698,0.16088775869641994,88.0
4,640001.0,34.32098839745912,5.500000000000001,7.5,0.5,0.6167545798890937,0.17621559425402678,87.0
5,640001.0,45.72750191984375,4.999999999999994,7.5,0.5,0.6597006246538032,0.1884858927582295,146.0
6,640001.0,53.66666954173533,4.500000000000001,7.5,0.5,0.5722712889773097,0.16350608256494564,187.0
7,640001.0,84.75580862512051,4.0,7.5,0.5,0.7365598002262106,0.21044565720748876,175.0
8,640001.0,113.2350926576988,3.4999999999999982,7.5,0.5,0.7498740463498045,0.21424972752851557,117.0
9,640001.0,131.87120925875962,2.9999999999999973,7.5,0.5,0.7405647493108942,0.21158992837454121,104.0
20,640001.0,0.0,7.5,7.5,0.5,0.5,99.0,1.0
