NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.42
Barycenter M:5.12
Barycenter H:7.35
H[km]	Mag	PDF
2.6788	4.6441	0.000157
3.4838	4.6441	0.000080
3.7204	4.6441	0.000079
4.2427	4.6441	0.000079
4.5308	4.6441	0.000079
5.1670	4.6441	0.000077
5.5178	4.6441	0.000078
5.8924	4.6441	0.000074
6.2925	4.6441	0.000076
6.7197	4.6441	0.000070
7.1760	4.6441	0.000072
7.6632	4.6441	0.000065
8.1835	4.6441	0.000127
8.7392	4.6441	0.000062
9.3325	4.6441	0.000054
9.9662	4.6441	0.000056
1.8062	4.7458	0.000192
2.6788	4.7458	0.001583
2.8607	4.7458	0.000372
3.4838	4.7458	0.001081
3.7204	4.7458	0.000899
4.2427	4.7458	0.001070
4.5308	4.7458	0.000518
4.8384	4.7458	0.000386
5.1670	4.7458	0.001043
5.5178	4.7458	0.000892
5.8924	4.7458	0.001001
6.2925	4.7458	0.000494
6.7197	4.7458	0.001319
7.1760	4.7458	0.000470
7.6632	4.7458	0.001237
8.1835	4.7458	0.000996
8.7392	4.7458	0.000992
9.3325	4.7458	0.000987
9.9662	4.7458	0.000710
10.6429	4.7458	0.000532
11.3655	4.7458	0.000076
1.8062	4.8475	0.000350
1.9288	4.8475	0.000189
2.6788	4.8475	0.003351
2.8607	4.8475	0.003269
3.4838	4.8475	0.002696
3.7204	4.8475	0.005144
3.9730	4.8475	0.000334
4.2427	4.8475	0.002320
4.5308	4.8475	0.003449
4.8384	4.8475	0.002435
5.1670	4.8475	0.002591
5.5178	4.8475	0.005154
5.8924	4.8475	0.002520
6.2925	4.8475	0.003285
6.7197	4.8475	0.004451
7.1760	4.8475	0.003127
7.6632	4.8475	0.004500
8.1835	4.8475	0.004777
8.7392	4.8475	0.003295
9.3325	4.8475	0.004779
9.9662	4.8475	0.003980
10.6429	4.8475	0.003257
11.3655	4.8475	0.002869
12.1372	4.8475	0.000855
1.8062	4.9492	0.000507
1.9288	4.9492	0.000670
2.6788	4.9492	0.002650
2.8607	4.9492	0.004838
3.4838	4.9492	0.004312
3.7204	4.9492	0.011074
3.9730	4.9492	0.000825
4.2427	4.9492	0.003766
4.5308	4.9492	0.006777
4.8384	4.9492	0.005786
5.1670	4.9492	0.004150
5.5178	4.9492	0.011150
5.8924	4.9492	0.004391
6.2925	4.9492	0.006466
6.7197	4.9492	0.009073
7.1760	4.9492	0.006159
7.6632	4.9492	0.009052
8.1835	4.9492	0.009957
8.7392	4.9492	0.005239
9.3325	4.9492	0.011059
9.9662	4.9492	0.008877
10.6429	4.9492	0.006607
11.3655	4.9492	0.008008
12.1372	4.9492	0.005704
12.9612	4.9492	0.003364
13.8413	4.9492	0.000788
1.8062	5.0508	0.001273
1.9288	5.0508	0.000359
2.6788	5.0508	0.002912
2.8607	5.0508	0.000798
3.4838	5.0508	0.006741
3.7204	5.0508	0.014291
3.9730	5.0508	0.001382
4.2427	5.0508	0.005408
4.5308	5.0508	0.009453
4.8384	5.0508	0.008714
5.1670	5.0508	0.006474
5.5178	5.0508	0.015427
5.8924	5.0508	0.006510
6.2925	5.0508	0.009012
6.7197	5.0508	0.013448
7.1760	5.0508	0.008581
7.6632	5.0508	0.013841
8.1835	5.0508	0.013787
8.7392	5.0508	0.007394
9.3325	5.0508	0.016387
9.9662	5.0508	0.013141
10.6429	5.0508	0.009997
11.3655	5.0508	0.011643
12.1372	5.0508	0.010153
12.9612	5.0508	0.009264
13.8413	5.0508	0.006117
14.7810	5.0508	0.002160
15.7846	5.0508	0.000099
2.6788	5.1525	0.001674
2.8607	5.1525	0.001605
3.4838	5.1525	0.004170
3.7204	5.1525	0.011733
3.9730	5.1525	0.001064
4.2427	5.1525	0.003569
4.5308	5.1525	0.010678
4.8384	5.1525	0.009311
5.1670	5.1525	0.004507
5.5178	5.1525	0.016732
5.8924	5.1525	0.005477
6.2925	5.1525	0.010179
6.7197	5.1525	0.012440
7.1760	5.1525	0.009692
7.6632	5.1525	0.012792
8.1835	5.1525	0.014204
8.7392	5.1525	0.006747
9.3325	5.1525	0.017252
9.9662	5.1525	0.013152
10.6429	5.1525	0.009914
11.3655	5.1525	0.011681
12.1372	5.1525	0.011478
12.9612	5.1525	0.009741
13.8413	5.1525	0.008621
14.7810	5.1525	0.006392
15.7846	5.1525	0.003673
16.8564	5.1525	0.000892
18.0009	5.1525	0.000031
2.6788	5.2542	0.001590
2.8607	5.2542	0.001109
3.4838	5.2542	0.002839
3.7204	5.2542	0.003510
4.2427	5.2542	0.002281
4.5308	5.2542	0.007712
4.8384	5.2542	0.006933
5.1670	5.2542	0.003716
5.5178	5.2542	0.012376
5.8924	5.2542	0.003209
6.2925	5.2542	0.007396
6.7197	5.2542	0.009235
7.1760	5.2542	0.007032
7.6632	5.2542	0.010120
8.1835	5.2542	0.010378
8.7392	5.2542	0.004758
9.3325	5.2542	0.012385
9.9662	5.2542	0.010270
10.6429	5.2542	0.006235
11.3655	5.2542	0.008828
12.1372	5.2542	0.008932
12.9612	5.2542	0.007788
13.8413	5.2542	0.006833
14.7810	5.2542	0.005757
15.7846	5.2542	0.004372
16.8564	5.2542	0.002347
18.0009	5.2542	0.000969
19.2231	5.2542	0.000250
2.6788	5.3559	0.000791
2.8607	5.3559	0.000931
3.4838	5.3559	0.001474
3.7204	5.3559	0.001293
4.2427	5.3559	0.001195
4.5308	5.3559	0.004579
4.8384	5.3559	0.002148
5.1670	5.3559	0.001906
5.5178	5.3559	0.007250
5.8924	5.3559	0.001611
6.2925	5.3559	0.004524
6.7197	5.3559	0.004830
7.1760	5.3559	0.004298
7.6632	5.3559	0.005269
8.1835	5.3559	0.006277
8.7392	5.3559	0.002084
9.3325	5.3559	0.007205
9.9662	5.3559	0.006254
10.6429	5.3559	0.003134
11.3655	5.3559	0.004532
12.1372	5.3559	0.005227
12.9612	5.3559	0.004400
13.8413	5.3559	0.003970
14.7810	5.3559	0.003549
15.7846	5.3559	0.002631
16.8564	5.3559	0.001948
18.0009	5.3559	0.001042
19.2231	5.3559	0.000309
2.6788	5.4576	0.000289
3.4838	5.4576	0.000668
3.7204	5.4576	0.000514
4.2427	5.4576	0.000271
4.5308	5.4576	0.001723
5.1670	5.4576	0.000896
5.5178	5.4576	0.002252
5.8924	5.4576	0.000329
6.2925	5.4576	0.001917
6.7197	5.4576	0.001202
7.1760	5.4576	0.001817
7.6632	5.4576	0.001685
8.1835	5.4576	0.001997
8.7392	5.4576	0.000753
9.3325	5.4576	0.002099
9.9662	5.4576	0.002276
10.6429	5.4576	0.001111
11.3655	5.4576	0.001366
12.1372	5.4576	0.001775
12.9612	5.4576	0.001483
13.8413	5.4576	0.001290
14.7810	5.4576	0.001128
15.7846	5.4576	0.000881
16.8564	5.4576	0.000835
18.0009	5.4576	0.000531
19.2231	5.4576	0.000063
3.4838	5.5593	0.000189
3.7204	5.5593	0.000356
4.5308	5.5593	0.000535
5.1670	5.5593	0.000179
5.5178	5.5593	0.000688
6.2925	5.5593	0.000571
6.7197	5.5593	0.000269
7.1760	5.5593	0.000539
7.6632	5.5593	0.000410
8.1835	5.5593	0.000603
8.7392	5.5593	0.000136
9.3325	5.5593	0.000557
9.9662	5.5593	0.000628
10.6429	5.5593	0.000160
11.3655	5.5593	0.000495
12.1372	5.5593	0.000477
12.9612	5.5593	0.000410
13.8413	5.5593	0.000346
14.7810	5.5593	0.000288
15.7846	5.5593	0.000235
16.8564	5.5593	0.000202
18.0009	5.5593	0.000204
19.2231	5.5593	0.000026
