NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.7
Barycenter M:5.25
Barycenter H:9.18
H[km]	Mag	PDF
4.5308	4.9492	0.000333
5.1670	4.9492	0.002331
5.8924	4.9492	0.002783
6.7197	4.9492	0.003179
7.1760	4.9492	0.003474
8.1835	4.9492	0.003631
8.7392	4.9492	0.003631
9.3325	4.9492	0.003474
9.9662	4.9492	0.003179
10.6429	4.9492	0.002783
11.3655	4.9492	0.002331
12.1372	4.9492	0.001868
12.9612	4.9492	0.001432
13.8413	4.9492	0.001181
14.7810	4.9492	0.000923
5.1670	5.0508	0.007435
5.8924	5.0508	0.008877
6.7197	5.0508	0.010140
7.1760	5.0508	0.011079
8.1835	5.0508	0.011581
8.7392	5.0508	0.011581
9.3325	5.0508	0.011079
9.9662	5.0508	0.010140
10.6429	5.0508	0.008877
11.3655	5.0508	0.007435
12.1372	5.0508	0.005957
12.9612	5.0508	0.004566
13.8413	5.0508	0.004203
14.7810	5.0508	0.003070
5.1670	5.1525	0.003530
5.8924	5.1525	0.016472
6.7197	5.1525	0.018815
7.1760	5.1525	0.020559
8.1835	5.1525	0.021491
8.7392	5.1525	0.021491
9.3325	5.1525	0.020559
9.9662	5.1525	0.018815
10.6429	5.1525	0.016472
11.3655	5.1525	0.013796
12.1372	5.1525	0.011054
12.9612	5.1525	0.008473
13.8413	5.1525	0.008067
14.7810	5.1525	0.005429
5.8924	5.2542	0.017606
6.7197	5.2542	0.024090
7.1760	5.2542	0.026323
8.1835	5.2542	0.027515
8.7392	5.2542	0.027515
9.3325	5.2542	0.026323
9.9662	5.2542	0.024090
10.6429	5.2542	0.021090
11.3655	5.2542	0.017664
12.1372	5.2542	0.014153
12.9612	5.2542	0.010848
13.8413	5.2542	0.010686
14.7810	5.2542	0.006594
5.8924	5.3559	0.003645
6.7197	5.3559	0.021291
7.1760	5.3559	0.023265
8.1835	5.3559	0.024319
8.7392	5.3559	0.024319
9.3325	5.3559	0.023265
9.9662	5.3559	0.021291
10.6429	5.3559	0.018640
11.3655	5.3559	0.015612
12.1372	5.3559	0.012509
12.9612	5.3559	0.009588
13.8413	5.3559	0.009761
14.7810	5.3559	0.005510
6.7197	5.4576	0.010144
7.1760	5.4576	0.015113
8.1835	5.4576	0.015798
8.7392	5.4576	0.015798
9.3325	5.4576	0.015113
9.9662	5.4576	0.013831
10.6429	5.4576	0.012109
11.3655	5.4576	0.010142
12.1372	5.4576	0.008126
12.9612	5.4576	0.006228
13.8413	5.4576	0.006421
14.7810	5.4576	0.003499
7.1760	5.5593	0.005268
8.1835	5.5593	0.005507
8.7392	5.5593	0.005507
9.3325	5.5593	0.005268
9.9662	5.5593	0.004822
10.6429	5.5593	0.004221
11.3655	5.5593	0.003535
12.1372	5.5593	0.002833
12.9612	5.5593	0.002171
13.8413	5.5593	0.002578
14.7810	5.5593	0.000881
