NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.77
Barycenter M:5.27
Barycenter H:8.89
H[km]	Mag	PDF
5.1670	4.9492	0.000072
5.5178	4.9492	0.000107
5.8924	4.9492	0.000153
6.2925	4.9492	0.000208
6.7197	4.9492	0.000272
7.1760	4.9492	0.000339
7.6632	4.9492	0.000405
8.1835	4.9492	0.000969
8.7392	4.9492	0.000529
9.3325	4.9492	0.001035
9.9662	4.9492	0.000463
10.6429	4.9492	0.000745
11.3655	4.9492	0.000480
12.1372	4.9492	0.000260
12.9612	4.9492	0.000072
5.1670	5.0508	0.000920
5.5178	5.0508	0.001371
5.8924	5.0508	0.001955
6.2925	5.0508	0.002666
6.7197	5.0508	0.003478
7.1760	5.0508	0.004341
7.6632	5.0508	0.006339
8.1835	5.0508	0.011233
8.7392	5.0508	0.006762
9.3325	5.0508	0.013230
9.9662	5.0508	0.006932
10.6429	5.0508	0.008512
11.3655	5.0508	0.006144
12.1372	5.0508	0.003326
12.9612	5.0508	0.000920
5.1670	5.1525	0.000362
5.5178	5.1525	0.003253
5.8924	5.1525	0.005712
6.2925	5.1525	0.007790
6.7197	5.1525	0.010163
7.1760	5.1525	0.012684
7.6632	5.1525	0.021419
8.1835	5.1525	0.029925
8.7392	5.1525	0.019758
9.3325	5.1525	0.038660
9.9662	5.1525	0.022792
10.6429	5.1525	0.022335
11.3655	5.1525	0.017953
12.1372	5.1525	0.009719
12.9612	5.1525	0.002689
5.5178	5.2542	0.001297
5.8924	5.2542	0.007374
6.2925	5.2542	0.011398
6.7197	5.2542	0.014870
7.1760	5.2542	0.018559
7.6632	5.2542	0.034433
8.1835	5.2542	0.040691
8.7392	5.2542	0.028909
9.3325	5.2542	0.056565
9.9662	5.2542	0.036056
10.6429	5.2542	0.029971
11.3655	5.2542	0.026267
12.1372	5.2542	0.014220
12.9612	5.2542	0.003934
5.8924	5.3559	0.001126
6.2925	5.3559	0.007685
6.7197	5.3559	0.011054
7.1760	5.3559	0.013796
7.6632	5.3559	0.028747
8.1835	5.3559	0.027100
8.7392	5.3559	0.021491
9.3325	5.3559	0.042050
9.9662	5.3559	0.029561
10.6429	5.3559	0.019523
11.3655	5.3559	0.019527
12.1372	5.3559	0.010571
12.9612	5.3559	0.002925
6.2925	5.4576	0.000986
6.7197	5.4576	0.005052
7.1760	5.4576	0.007151
7.6632	5.4576	0.014813
8.1835	5.4576	0.014133
8.7392	5.4576	0.011139
9.3325	5.4576	0.021795
9.9662	5.4576	0.015246
10.6429	5.4576	0.010195
11.3655	5.4576	0.010121
12.1372	5.4576	0.005479
12.9612	5.4576	0.001516
7.1760	5.5593	0.000848
7.6632	5.5593	0.002168
8.1835	5.5593	0.001263
8.7392	5.5593	0.001320
9.3325	5.5593	0.002583
9.9662	5.5593	0.002168
10.6429	5.5593	0.000848
11.3655	5.5593	0.001200
12.1372	5.5593	0.000649
12.9612	5.5593	0.000180
