,NumEvt,Bin_method,C1,C2,Beta,Gamma,Mag,StdM,H,StdH,Io
1,650009,RAVG,3.297,1.306,-2.997,0.0,6.48969633506391,[0.12079988],11.0,2.5,8.65004664177664
2,650009,RAVG,2.378,1.544,-3.078,0.0,6.168693202027579,[0.10217918],11.0,2.5,8.697954379442201
3,650009,RAVG,3.237,1.387,-3.258,-0.00121,6.515405252148119,[0.11374524],11.0,2.5,8.89725222957916
4,650009,RAVG,2.188,1.574,-3.048,-0.00411,6.319718984626006,[0.10023167],11.0,2.5,8.950011907260224
5,650009,RAVG,3.052,1.285,-2.742,-0.00167,6.556944619056208,[0.12277404],11.0,2.5,8.603195534376976
6,650009,RAVG,1.789,1.613,-2.939,0.0,6.1317514397795545,[0.09780821],11.0,2.5,8.616163649048696
7,650009,RAVG,2.947,1.388,-3.058,-0.00164,6.509702870376117,[0.11366329],11.0,2.5,8.78577024186853
8,650009,RAVG,1.411,1.682,-2.948,-0.00268,6.222421042451076,[0.09379587],11.0,2.5,8.783473369103767
9,650009,RAVG,3.064,1.221,-2.478,-0.0064,6.808764292477307,[0.12920938],11.0,2.5,8.731807718041761
10,650009,RAVG,2.475,1.507,-2.978,-0.00394,6.328031607316794,[0.10468789],11.0,2.5,8.897128137255352
11,650009,RAVG,3.321,1.362,-3.225,-0.00175,6.561558648938741,[0.11583307],11.0,2.5,8.912055996162142
12,650009,RAVG,2.327,1.59,-3.243,-0.00198,6.2738571349247145,[0.09922305],11.0,2.5,8.938485606435513
13,650009,RAVG,2.902,1.218,-2.348,-0.00659,6.798008822180418,[0.12952763],11.0,2.5,8.670469948313754
14,650009,RAVG,2.066,1.553,-2.861,-0.00405,6.287959332492044,[0.10158702],11.0,2.5,8.830957818889395
15,650009,RAVG,3.071,1.363,-3.052,-0.00209,6.553630758438086,[0.11574809],11.0,2.5,8.807363427716174
16,650009,RAVG,1.579,1.689,-3.116,-0.00107,6.191557071929415,[0.09340713],11.0,2.5,8.785502920193514
17,650009,ROBS,3.608,1.241,-3.039,0.0,6.656873436827297,[0.10995385],11.0,2.5,8.695871271575314
18,650009,ROBS,2.649,1.502,-3.179,0.0,6.28987719130233,[0.09084736],11.0,2.5,8.784871663202521
19,650009,ROBS,3.411,1.325,-3.225,-0.00111,6.670010384124759,[0.10298319],11.0,2.5,8.906319208631007
20,650009,ROBS,2.397,1.542,-3.157,-0.00121,6.321921493934922,[0.08849074],11.0,2.5,8.866949268033865
21,650009,ROBS,3.317,1.223,-2.754,0.0,6.614582076497191,[0.11157214],11.0,2.5,8.52561168731624
22,650009,ROBS,2.025,1.575,-3.019,0.0,6.229663849386423,[0.08663665],11.0,2.5,8.683211273041868
23,650009,ROBS,3.089,1.327,-2.996,0.0,6.563973085619215,[0.10282798],11.0,2.5,8.668740376362546
24,650009,ROBS,1.589,1.656,-3.046,0.0,6.214698499646345,[0.08239899],11.0,2.5,8.700315531511684
25,650009,ROBS,3.533,1.167,-2.681,-0.00356,6.858949932118287,[0.11692607],11.0,2.5,8.705289453217963
26,650009,ROBS,2.832,1.459,-3.123,-0.00128,6.34895321871299,[0.09352483],11.0,2.5,8.848660972590404
27,650009,ROBS,3.515,1.315,-3.263,0.0,6.6294485970160855,[0.10376633],11.0,2.5,8.852066834826426
28,650009,ROBS,2.524,1.567,-3.383,0.0,6.3200262533443,[0.08707896],11.0,2.5,8.935981195617723
29,650009,ROBS,3.312,1.161,-2.494,-0.00415,6.858919584793293,[0.11753034],11.0,2.5,8.628457827775769
30,650009,ROBS,2.386,1.506,-2.978,-0.00167,6.30882894687978,[0.09060606],11.0,2.5,8.767628380883783
31,650009,ROBS,3.23,1.318,-3.065,0.0,6.586780818753759,[0.10353014],11.0,2.5,8.712404277769679
32,650009,ROBS,1.748,1.672,-3.247,0.0,6.255237683744562,[0.08161048],11.0,2.5,8.827083379945298
33,650009,ROBS,4.81,1.27,-3.87,0.0,6.620367602330424,[0.10744309],11.0,2.5,9.275028849340408
34,650009,ROBS,4.66,1.27,-3.83,0.0,6.687360716788596,[0.10744309],11.0,2.5,9.24909625211532
