NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.16
Barycenter M:6.54
Barycenter H:9.7
H[km]	Mag	Io	PDF
11.0000	5.9661	8.3636	0.000031
10.4747	6.3729	8.3636	0.000031
11.0000	6.3729	8.3636	0.000077
9.9744	5.9661	8.4646	0.000074
10.4747	5.9661	8.4646	0.000152
11.0000	5.9661	8.4646	0.000046
10.4747	6.0678	8.4646	0.000251
11.0000	6.0678	8.4646	0.000352
10.4747	6.2712	8.4646	0.000062
11.0000	6.2712	8.4646	0.000031
9.9744	6.3729	8.4646	0.000102
10.4747	6.3729	8.4646	0.000408
11.0000	6.3729	8.4646	0.000269
10.4747	6.4746	8.4646	0.000293
11.0000	6.4746	8.4646	0.000352
9.9744	6.5763	8.4646	0.000029
10.4747	6.5763	8.4646	0.000061
11.0000	6.5763	8.4646	0.000062
10.4747	6.6780	8.4646	0.000091
11.0000	6.6780	8.4646	0.000112
9.4980	5.9661	8.5657	0.000131
9.9744	5.9661	8.5657	0.000071
9.4980	6.0678	8.5657	0.000057
9.9744	6.0678	8.5657	0.000506
10.4747	6.0678	8.5657	0.001608
11.0000	6.0678	8.5657	0.001179
10.4747	6.1695	8.5657	0.000032
11.0000	6.1695	8.5657	0.000368
9.4980	6.2712	8.5657	0.000027
9.9744	6.2712	8.5657	0.000058
9.0444	6.3729	8.5657	0.000024
9.4980	6.3729	8.5657	0.000282
9.9744	6.3729	8.5657	0.000462
10.4747	6.3729	8.5657	0.000736
11.0000	6.3729	8.5657	0.000497
9.4980	6.4746	8.5657	0.000078
9.9744	6.4746	8.5657	0.000524
10.4747	6.4746	8.5657	0.000746
11.0000	6.4746	8.5657	0.000551
9.4980	6.5763	8.5657	0.000052
9.9744	6.5763	8.5657	0.000086
10.4747	6.5763	8.5657	0.000259
11.0000	6.5763	8.5657	0.000416
9.4980	6.6780	8.5657	0.000040
9.9744	6.6780	8.5657	0.000338
10.4747	6.6780	8.5657	0.000994
11.0000	6.6780	8.5657	0.000673
11.0000	6.7797	8.5657	0.000174
8.6125	5.9661	8.6667	0.000020
9.0444	5.9661	8.6667	0.000113
9.0444	6.0678	8.6667	0.000189
9.4980	6.0678	8.6667	0.000876
9.9744	6.0678	8.6667	0.002107
10.4747	6.0678	8.6667	0.001347
11.0000	6.0678	8.6667	0.000094
9.9744	6.1695	8.6667	0.000379
10.4747	6.1695	8.6667	0.002698
11.0000	6.1695	8.6667	0.002488
9.0444	6.2712	8.6667	0.000046
9.4980	6.2712	8.6667	0.000026
8.2012	6.3729	8.6667	0.000018
8.6125	6.3729	8.6667	0.000049
9.0444	6.3729	8.6667	0.000271
9.4980	6.3729	8.6667	0.000406
9.9744	6.3729	8.6667	0.000859
10.4747	6.3729	8.6667	0.000829
11.0000	6.3729	8.6667	0.000341
9.0444	6.4746	8.6667	0.000220
9.4980	6.4746	8.6667	0.000669
9.9744	6.4746	8.6667	0.000817
10.4747	6.4746	8.6667	0.001759
11.0000	6.4746	8.6667	0.001244
8.6125	6.5763	8.6667	0.000020
9.0444	6.5763	8.6667	0.000069
9.4980	6.5763	8.6667	0.000053
9.9744	6.5763	8.6667	0.000993
10.4747	6.5763	8.6667	0.001736
11.0000	6.5763	8.6667	0.000901
9.0444	6.6780	8.6667	0.000186
9.4980	6.6780	8.6667	0.000761
9.9744	6.6780	8.6667	0.001019
10.4747	6.6780	8.6667	0.000463
11.0000	6.6780	8.6667	0.000199
9.9744	6.7797	8.6667	0.000514
10.4747	6.7797	8.6667	0.001855
11.0000	6.7797	8.6667	0.001167
11.0000	6.8814	8.6667	0.000227
8.2012	5.9661	8.7677	0.000084
8.6125	5.9661	8.7677	0.000030
8.2012	6.0678	8.7677	0.000038
8.6125	6.0678	8.7677	0.000195
9.0444	6.0678	8.7677	0.001043
9.4980	6.0678	8.7677	0.001680
9.9744	6.0678	8.7677	0.000420
9.4980	6.1695	8.7677	0.001146
9.9744	6.1695	8.7677	0.004561
10.4747	6.1695	8.7677	0.007205
11.0000	6.1695	8.7677	0.002979
8.2012	6.2712	8.7677	0.000018
8.6125	6.2712	8.7677	0.000020
9.9744	6.2712	8.7677	0.000146
10.4747	6.2712	8.7677	0.001598
11.0000	6.2712	8.7677	0.002290
7.8095	6.3729	8.7677	0.000035
8.2012	6.3729	8.7677	0.000164
8.6125	6.3729	8.7677	0.000114
9.0444	6.3729	8.7677	0.000521
9.4980	6.3729	8.7677	0.000763
9.9744	6.3729	8.7677	0.000674
10.4747	6.3729	8.7677	0.000531
11.0000	6.3729	8.7677	0.000101
8.2012	6.4746	8.7677	0.000119
8.6125	6.4746	8.7677	0.000225
9.0444	6.4746	8.7677	0.000551
9.4980	6.4746	8.7677	0.001031
9.9744	6.4746	8.7677	0.002132
10.4747	6.4746	8.7677	0.003265
11.0000	6.4746	8.7677	0.001694
7.8095	6.5763	8.7677	0.000014
8.2012	6.5763	8.7677	0.000051
8.6125	6.5763	8.7677	0.000020
9.0444	6.5763	8.7677	0.000339
9.4980	6.5763	8.7677	0.001286
9.9744	6.5763	8.7677	0.001256
10.4747	6.5763	8.7677	0.001880
11.0000	6.5763	8.7677	0.001425
8.2012	6.6780	8.7677	0.000139
8.6125	6.6780	8.7677	0.000233
9.0444	6.6780	8.7677	0.000817
9.4980	6.6780	8.7677	0.000525
9.9744	6.6780	8.7677	0.000297
10.4747	6.6780	8.7677	0.000997
11.0000	6.6780	8.7677	0.000527
9.0444	6.7797	8.7677	0.000133
9.4980	6.7797	8.7677	0.001221
9.9744	6.7797	8.7677	0.002197
10.4747	6.7797	8.7677	0.001674
11.0000	6.7797	8.7677	0.000448
9.9744	6.8814	8.7677	0.000216
10.4747	6.8814	8.7677	0.001302
11.0000	6.8814	8.7677	0.001039
7.4365	5.9661	8.8687	0.000041
7.8095	5.9661	8.8687	0.000035
7.4365	6.0678	8.8687	0.000026
7.8095	6.0678	8.8687	0.000070
8.2012	6.0678	8.8687	0.000714
8.6125	6.0678	8.8687	0.000643
9.0444	6.0678	8.8687	0.001080
9.4980	6.0678	8.8687	0.000134
8.6125	6.1695	8.8687	0.000160
9.0444	6.1695	8.8687	0.002022
9.4980	6.1695	8.8687	0.005075
9.9744	6.1695	8.8687	0.005608
10.4747	6.1695	8.8687	0.001574
7.4365	6.2712	8.8687	0.000012
7.8095	6.2712	8.8687	0.000014
8.2012	6.2712	8.8687	0.000016
9.4980	6.2712	8.8687	0.000378
9.9744	6.2712	8.8687	0.003112
10.4747	6.2712	8.8687	0.007846
11.0000	6.2712	8.8687	0.004867
7.0814	6.3729	8.8687	0.000009
7.4365	6.3729	8.8687	0.000104
7.8095	6.3729	8.8687	0.000080
8.2012	6.3729	8.8687	0.000347
8.6125	6.3729	8.8687	0.000300
9.0444	6.3729	8.8687	0.000516
9.4980	6.3729	8.8687	0.000579
9.9744	6.3729	8.8687	0.000303
10.4747	6.3729	8.8687	0.000464
11.0000	6.3729	8.8687	0.000924
7.4365	6.4746	8.8687	0.000035
7.8095	6.4746	8.8687	0.000159
8.2012	6.4746	8.8687	0.000453
8.6125	6.4746	8.8687	0.000223
9.0444	6.4746	8.8687	0.001113
9.4980	6.4746	8.8687	0.001983
9.9744	6.4746	8.8687	0.003217
10.4747	6.4746	8.8687	0.002586
11.0000	6.4746	8.8687	0.001083
7.0814	6.5763	8.8687	0.000009
7.4365	6.5763	8.8687	0.000023
7.8095	6.5763	8.8687	0.000014
8.2012	6.5763	8.8687	0.000130
8.6125	6.5763	8.8687	0.000411
9.0444	6.5763	8.8687	0.001123
9.4980	6.5763	8.8687	0.001132
9.9744	6.5763	8.8687	0.002305
10.4747	6.5763	8.8687	0.003709
11.0000	6.5763	8.8687	0.002555
7.4365	6.6780	8.8687	0.000094
7.8095	6.6780	8.8687	0.000164
8.2012	6.6780	8.8687	0.000539
8.6125	6.6780	8.8687	0.000268
9.0444	6.6780	8.8687	0.000146
9.4980	6.6780	8.8687	0.000758
9.9744	6.6780	8.8687	0.001083
10.4747	6.6780	8.8687	0.000757
11.0000	6.6780	8.8687	0.000486
8.2012	6.7797	8.8687	0.000100
8.6125	6.7797	8.8687	0.000471
9.0444	6.7797	8.8687	0.001689
9.4980	6.7797	8.8687	0.001614
9.9744	6.7797	8.8687	0.000628
10.4747	6.7797	8.8687	0.000175
11.0000	6.7797	8.8687	0.000143
9.0444	6.8814	8.8687	0.000173
9.4980	6.8814	8.8687	0.000924
9.9744	6.8814	8.8687	0.002476
10.4747	6.8814	8.8687	0.002224
11.0000	6.8814	8.8687	0.000522
10.4747	6.9831	8.8687	0.000466
11.0000	6.9831	8.8687	0.000537
6.7432	5.9661	8.9697	0.000008
7.0814	5.9661	8.9697	0.000022
7.4365	5.9661	8.9697	0.000016
7.0814	6.0678	8.9697	0.000019
7.4365	6.0678	8.9697	0.000272
7.8095	6.0678	8.9697	0.000424
8.2012	6.0678	8.9697	0.000930
8.6125	6.0678	8.9697	0.000200
9.0444	6.0678	8.9697	0.000066
7.8095	6.1695	8.9697	0.000015
8.2012	6.1695	8.9697	0.000931
8.6125	6.1695	8.9697	0.001440
9.0444	6.1695	8.9697	0.004609
9.4980	6.1695	8.9697	0.003638
9.9744	6.1695	8.9697	0.000342
7.0814	6.2712	8.9697	0.000009
7.4365	6.2712	8.9697	0.000011
9.0444	6.2712	8.9697	0.000876
9.4980	6.2712	8.9697	0.004827
9.9744	6.2712	8.9697	0.008589
10.4747	6.2712	8.9697	0.006173
11.0000	6.2712	8.9697	0.001046
6.4211	6.3729	8.9697	0.000006
6.7432	6.3729	8.9697	0.000035
7.0814	6.3729	8.9697	0.000032
7.4365	6.3729	8.9697	0.000164
7.8095	6.3729	8.9697	0.000175
8.2012	6.3729	8.9697	0.000406
8.6125	6.3729	8.9697	0.000180
9.0444	6.3729	8.9697	0.000478
9.4980	6.3729	8.9697	0.000143
9.9744	6.3729	8.9697	0.001306
10.4747	6.3729	8.9697	0.004999
11.0000	6.3729	8.9697	0.003407
7.0814	6.4746	8.9697	0.000059
7.4365	6.4746	8.9697	0.000290
7.8095	6.4746	8.9697	0.000078
8.2012	6.4746	8.9697	0.000575
8.6125	6.4746	8.9697	0.000776
9.0444	6.4746	8.9697	0.002005
9.4980	6.4746	8.9697	0.002741
9.9744	6.4746	8.9697	0.001719
10.4747	6.4746	8.9697	0.002960
11.0000	6.4746	8.9697	0.003530
6.4211	6.5763	8.9697	0.000006
6.7432	6.5763	8.9697	0.000007
7.0814	6.5763	8.9697	0.000009
7.4365	6.5763	8.9697	0.000101
7.8095	6.5763	8.9697	0.000188
8.2012	6.5763	8.9697	0.000957
8.6125	6.5763	8.9697	0.000430
9.0444	6.5763	8.9697	0.001258
9.4980	6.5763	8.9697	0.002636
9.9744	6.5763	8.9697	0.004283
10.4747	6.5763	8.9697	0.005834
11.0000	6.5763	8.9697	0.003679
6.7432	6.6780	8.9697	0.000027
7.0814	6.6780	8.9697	0.000058
7.4365	6.6780	8.9697	0.000362
7.8095	6.6780	8.9697	0.000189
8.2012	6.6780	8.9697	0.000174
8.6125	6.6780	8.9697	0.000127
9.0444	6.6780	8.9697	0.000849
9.4980	6.6780	8.9697	0.000571
9.9744	6.6780	8.9697	0.000780
10.4747	6.6780	8.9697	0.001432
11.0000	6.6780	8.9697	0.001180
7.4365	6.7797	8.9697	0.000068
7.8095	6.7797	8.9697	0.000168
8.2012	6.7797	8.9697	0.001254
8.6125	6.7797	8.9697	0.000525
9.0444	6.7797	8.9697	0.000797
9.4980	6.7797	8.9697	0.000245
9.9744	6.7797	8.9697	0.000266
10.4747	6.7797	8.9697	0.000106
8.2012	6.8814	8.9697	0.000131
8.6125	6.8814	8.9697	0.000284
9.0444	6.8814	8.9697	0.001515
9.4980	6.8814	8.9697	0.001953
9.9744	6.8814	8.9697	0.000645
9.4980	6.9831	8.9697	0.000275
9.9744	6.9831	8.9697	0.000938
10.4747	6.9831	8.9697	0.000928
11.0000	6.9831	8.9697	0.000249
10.4747	7.0847	8.9697	0.000061
11.0000	7.0847	8.9697	0.000031
6.1145	5.9661	9.0707	0.000005
6.4211	5.9661	9.0707	0.000016
6.7432	5.9661	9.0707	0.000011
6.4211	6.0678	9.0707	0.000013
6.7432	6.0678	9.0707	0.000074
7.0814	6.0678	9.0707	0.000194
7.4365	6.0678	9.0707	0.000688
7.8095	6.0678	9.0707	0.000238
8.2012	6.0678	9.0707	0.000084
7.4365	6.1695	9.0707	0.000272
7.8095	6.1695	9.0707	0.000714
8.2012	6.1695	9.0707	0.003181
8.6125	6.1695	9.0707	0.001886
9.0444	6.1695	9.0707	0.001909
6.4211	6.2712	9.0707	0.000006
