NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.02
Barycenter M:6.44
Barycenter H:9.32
H[km]	Mag	PDF
6.1145	5.9661	0.000047
6.4211	5.9661	0.000031
6.7432	5.9661	0.000037
7.0814	5.9661	0.000044
7.4365	5.9661	0.000113
7.8095	5.9661	0.000070
8.2012	5.9661	0.000168
8.6125	5.9661	0.000099
9.0444	5.9661	0.000226
9.4980	5.9661	0.000261
9.9744	5.9661	0.000289
10.4747	5.9661	0.000305
11.0000	5.9661	0.000155
6.1145	6.0678	0.000980
6.4211	6.0678	0.000656
6.7432	6.0678	0.000787
7.0814	6.0678	0.000935
7.4365	6.0678	0.002372
7.8095	6.0678	0.001464
8.2012	6.0678	0.003531
8.6125	6.0678	0.002075
9.0444	6.0678	0.004758
9.4980	6.0678	0.005493
9.9744	6.0678	0.006068
10.4747	6.0678	0.006412
11.0000	6.0678	0.003251
6.1145	6.1695	0.002090
6.4211	6.1695	0.002161
6.7432	6.1695	0.002825
7.0814	6.1695	0.003355
7.4365	6.1695	0.008515
7.8095	6.1695	0.005255
8.2012	6.1695	0.012674
8.6125	6.1695	0.007450
9.0444	6.1695	0.017080
9.4980	6.1695	0.019719
9.9744	6.1695	0.021781
10.4747	6.1695	0.023018
11.0000	6.1695	0.011669
6.1145	6.2712	0.000323
6.4211	6.2712	0.000938
6.7432	6.2712	0.002043
7.0814	6.2712	0.003557
7.4365	6.2712	0.011442
7.8095	6.2712	0.007415
8.2012	6.2712	0.017885
8.6125	6.2712	0.010512
9.0444	6.2712	0.024102
9.4980	6.2712	0.027825
9.9744	6.2712	0.030735
10.4747	6.2712	0.032480
11.0000	6.2712	0.016466
6.1145	6.3729	0.000623
6.4211	6.3729	0.000518
6.7432	6.3729	0.000622
7.0814	6.3729	0.001271
7.4365	6.3729	0.005510
7.8095	6.3729	0.005028
8.2012	6.3729	0.013588
8.6125	6.3729	0.008300
9.0444	6.3729	0.019029
9.4980	6.3729	0.021968
9.9744	6.3729	0.024265
10.4747	6.3729	0.025644
11.0000	6.3729	0.013000
6.1145	6.4746	0.001194
6.4211	6.4746	0.001232
6.7432	6.4746	0.001765
7.0814	6.4746	0.002450
7.4365	6.4746	0.006575
7.8095	6.4746	0.004349
8.2012	6.4746	0.011720
8.6125	6.4746	0.007322
9.0444	6.4746	0.017426
9.4980	6.4746	0.020233
9.9744	6.4746	0.022348
10.4747	6.4746	0.023617
11.0000	6.4746	0.011973
6.1145	6.5763	0.000972
6.4211	6.5763	0.000942
6.7432	6.5763	0.001591
7.0814	6.5763	0.002542
7.4365	6.5763	0.008831
7.8095	6.5763	0.006245
8.2012	6.5763	0.015062
8.6125	6.5763	0.008896
9.0444	6.5763	0.020397
9.4980	6.5763	0.023548
9.9744	6.5763	0.026010
10.4747	6.5763	0.027487
11.0000	6.5763	0.013935
6.1145	6.6780	0.000855
6.4211	6.6780	0.000609
6.7432	6.6780	0.000832
7.0814	6.6780	0.001053
7.4365	6.6780	0.003687
7.8095	6.6780	0.003009
8.2012	6.6780	0.008816
8.6125	6.6780	0.005543
9.0444	6.6780	0.012708
9.4980	6.6780	0.014671
9.9744	6.6780	0.016205
10.4747	6.6780	0.017125
11.0000	6.6780	0.008682
6.1145	6.7797	0.001079
6.4211	6.7797	0.000767
6.7432	6.7797	0.000935
7.0814	6.7797	0.001111
7.4365	6.7797	0.002819
7.8095	6.7797	0.001740
8.2012	6.7797	0.004492
8.6125	6.7797	0.002755
9.0444	6.7797	0.006672
9.4980	6.7797	0.007702
9.9744	6.7797	0.008508
10.4747	6.7797	0.008991
11.0000	6.7797	0.004558
6.1145	6.8814	0.000976
6.4211	6.8814	0.000721
6.7432	6.8814	0.000866
7.0814	6.8814	0.001028
7.4365	6.8814	0.002609
7.8095	6.8814	0.001610
8.2012	6.8814	0.003883
8.6125	6.8814	0.002283
9.0444	6.8814	0.005233
9.4980	6.8814	0.006042
9.9744	6.8814	0.006674
10.4747	6.8814	0.007053
11.0000	6.8814	0.003575
6.1145	6.9831	0.000100
6.4211	6.9831	0.000188
6.7432	6.9831	0.000326
7.0814	6.9831	0.000425
7.4365	6.9831	0.001147
7.8095	6.9831	0.000708
8.2012	6.9831	0.001708
8.6125	6.9831	0.001004
9.0444	6.9831	0.002301
9.4980	6.9831	0.002657
9.9744	6.9831	0.002934
10.4747	6.9831	0.003101
11.0000	6.9831	0.001572
6.7432	7.0847	0.000015
7.0814	7.0847	0.000018
7.4365	7.0847	0.000091
7.8095	7.0847	0.000056
8.2012	7.0847	0.000135
8.6125	7.0847	0.000079
9.0444	7.0847	0.000182
9.4980	7.0847	0.000210
9.9744	7.0847	0.000232
10.4747	7.0847	0.000245
11.0000	7.0847	0.000124
