NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.99
Barycenter M:6.42
Barycenter H:9.29
H[km]	Mag	PDF
6.1145	5.9661	0.000248
6.4211	5.9661	0.000166
6.7432	5.9661	0.000199
7.0814	5.9661	0.000236
7.4365	5.9661	0.000600
7.8095	5.9661	0.000370
8.2012	5.9661	0.000893
8.6125	5.9661	0.000525
9.0444	5.9661	0.001204
9.4980	5.9661	0.001389
9.9744	5.9661	0.001535
10.4747	5.9661	0.001622
11.0000	5.9661	0.000822
6.1145	6.0678	0.001598
6.4211	6.0678	0.001083
6.7432	6.0678	0.001300
7.0814	6.0678	0.001543
7.4365	6.0678	0.003917
7.8095	6.0678	0.002418
8.2012	6.0678	0.005831
8.6125	6.0678	0.003427
9.0444	6.0678	0.007858
9.4980	6.0678	0.009072
9.9744	6.0678	0.010020
10.4747	6.0678	0.010589
11.0000	6.0678	0.005368
6.1145	6.1695	0.002545
6.4211	6.1695	0.002254
6.7432	6.1695	0.002916
7.0814	6.1695	0.003462
7.4365	6.1695	0.008787
7.8095	6.1695	0.005423
8.2012	6.1695	0.013080
8.6125	6.1695	0.007688
9.0444	6.1695	0.017626
9.4980	6.1695	0.020349
9.9744	6.1695	0.022477
10.4747	6.1695	0.023754
11.0000	6.1695	0.012042
6.1145	6.2712	0.000568
6.4211	6.2712	0.001077
6.7432	6.2712	0.002388
7.0814	6.2712	0.003562
7.4365	6.2712	0.011116
7.8095	6.2712	0.007204
8.2012	6.2712	0.017375
8.6125	6.2712	0.010213
9.0444	6.2712	0.023415
9.4980	6.2712	0.027032
9.9744	6.2712	0.029859
10.4747	6.2712	0.031555
11.0000	6.2712	0.015997
6.1145	6.3729	0.001243
6.4211	6.3729	0.000955
6.7432	6.3729	0.001147
7.0814	6.3729	0.001725
7.4365	6.3729	0.006486
7.8095	6.3729	0.005019
8.2012	6.3729	0.013709
8.6125	6.3729	0.008285
9.0444	6.3729	0.018995
9.4980	6.3729	0.021930
9.9744	6.3729	0.024223
10.4747	6.3729	0.025599
11.0000	6.3729	0.012977
6.1145	6.4746	0.001543
6.4211	6.4746	0.001597
6.7432	6.4746	0.002223
7.0814	6.4746	0.003058
7.4365	6.4746	0.007835
7.8095	6.4746	0.005191
8.2012	6.4746	0.013101
8.6125	6.4746	0.008220
9.0444	6.4746	0.019254
9.4980	6.4746	0.022341
9.9744	6.4746	0.024677
10.4747	6.4746	0.026078
11.0000	6.4746	0.013221
6.1145	6.5763	0.000951
6.4211	6.5763	0.000899
6.7432	6.5763	0.001305
7.0814	6.5763	0.002169
7.4365	6.5763	0.007338
7.8095	6.5763	0.005128
8.2012	6.5763	0.012367
8.6125	6.5763	0.007269
9.0444	6.5763	0.016764
9.4980	6.5763	0.019354
9.9744	6.5763	0.021377
10.4747	6.5763	0.022591
11.0000	6.5763	0.011453
6.1145	6.6780	0.000845
6.4211	6.6780	0.000603
6.7432	6.6780	0.000824
7.0814	6.6780	0.001017
7.4365	6.6780	0.003302
7.8095	6.6780	0.002562
8.2012	6.6780	0.007421
8.6125	6.6780	0.004637
9.0444	6.6780	0.010631
9.4980	6.6780	0.012273
9.9744	6.6780	0.013557
10.4747	6.6780	0.014327
11.0000	6.6780	0.007263
6.1145	6.7797	0.001054
6.4211	6.7797	0.000731
6.7432	6.7797	0.000900
7.0814	6.7797	0.001087
7.4365	6.7797	0.002804
7.8095	6.7797	0.001731
8.2012	6.7797	0.004504
8.6125	6.7797	0.002779
9.0444	6.7797	0.006720
9.4980	6.7797	0.007758
9.9744	6.7797	0.008569
10.4747	6.7797	0.009056
11.0000	6.7797	0.004591
6.1145	6.8814	0.000755
6.4211	6.8814	0.000596
6.7432	6.8814	0.000716
7.0814	6.8814	0.000850
7.4365	6.8814	0.002157
7.8095	6.8814	0.001331
8.2012	6.8814	0.003210
8.6125	6.8814	0.001887
9.0444	6.8814	0.004326
9.4980	6.8814	0.004994
9.9744	6.8814	0.005517
10.4747	6.8814	0.005830
11.0000	6.8814	0.002956
6.1145	6.9831	0.000100
6.4211	6.9831	0.000157
6.7432	6.9831	0.000255
7.0814	6.9831	0.000341
7.4365	6.9831	0.000864
7.8095	6.9831	0.000533
8.2012	6.9831	0.001287
8.6125	6.9831	0.000756
9.0444	6.9831	0.001734
9.4980	6.9831	0.002002
9.9744	6.9831	0.002211
10.4747	6.9831	0.002337
11.0000	6.9831	0.001185
6.7432	7.0847	0.000015
7.0814	7.0847	0.000018
7.4365	7.0847	0.000137
7.8095	7.0847	0.000098
8.2012	7.0847	0.000236
8.6125	7.0847	0.000138
9.0444	7.0847	0.000318
9.4980	7.0847	0.000367
9.9744	7.0847	0.000405
10.4747	7.0847	0.000428
11.0000	7.0847	0.000217
