NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.97
Barycenter M:6.48
Barycenter H:9.28
H[km]	Mag	PDF
6.1145	6.0678	0.000353
6.4211	6.0678	0.000236
6.7432	6.0678	0.000284
7.0814	6.0678	0.000337
7.4365	6.0678	0.000855
7.8095	6.0678	0.000528
8.2012	6.0678	0.001273
8.6125	6.0678	0.000748
9.0444	6.0678	0.001716
9.4980	6.0678	0.001981
9.9744	6.0678	0.002188
10.4747	6.0678	0.002312
11.0000	6.0678	0.001172
6.1145	6.1695	0.002197
6.4211	6.1695	0.001791
6.7432	6.1695	0.002214
7.0814	6.1695	0.002629
7.4365	6.1695	0.006672
7.8095	6.1695	0.004118
8.2012	6.1695	0.009931
8.6125	6.1695	0.005837
9.0444	6.1695	0.013384
9.4980	6.1695	0.015451
9.9744	6.1695	0.017067
10.4747	6.1695	0.018036
11.0000	6.1695	0.009144
6.1145	6.2712	0.001338
6.4211	6.2712	0.002228
6.7432	6.2712	0.003584
7.0814	6.2712	0.004839
7.4365	6.2712	0.013472
7.8095	6.2712	0.008392
8.2012	6.2712	0.020241
8.6125	6.2712	0.011897
9.0444	6.2712	0.027277
9.4980	6.2712	0.031490
9.9744	6.2712	0.034783
10.4747	6.2712	0.036759
11.0000	6.2712	0.018635
6.1145	6.3729	0.000296
6.4211	6.3729	0.000288
6.7432	6.3729	0.000705
7.0814	6.3729	0.001597
7.4365	6.3729	0.007182
7.8095	6.3729	0.005367
8.2012	6.3729	0.014129
8.6125	6.3729	0.008434
9.0444	6.3729	0.019337
9.4980	6.3729	0.022324
9.9744	6.3729	0.024658
10.4747	6.3729	0.026058
11.0000	6.3729	0.013210
6.1145	6.4746	0.001326
6.4211	6.4746	0.000940
6.7432	6.4746	0.001129
7.0814	6.4746	0.001340
7.4365	6.4746	0.003845
7.8095	6.4746	0.002955
8.2012	6.4746	0.007820
8.6125	6.4746	0.004801
9.0444	6.4746	0.011263
9.4980	6.4746	0.013003
9.9744	6.4746	0.014363
10.4747	6.4746	0.015179
11.0000	6.4746	0.007695
6.1145	6.5763	0.002180
6.4211	6.5763	0.001981
6.7432	6.5763	0.002793
7.0814	6.5763	0.003457
7.4365	6.5763	0.008774
7.8095	6.5763	0.005415
8.2012	6.5763	0.013098
8.6125	6.5763	0.007718
9.0444	6.5763	0.017696
9.4980	6.5763	0.020430
9.9744	6.5763	0.022566
10.4747	6.5763	0.023848
11.0000	6.5763	0.012090
6.1145	6.6780	0.001117
6.4211	6.6780	0.001122
6.7432	6.6780	0.001607
7.0814	6.6780	0.002488
7.4365	6.6780	0.008120
7.8095	6.6780	0.005246
8.2012	6.6780	0.012653
8.6125	6.6780	0.007437
9.0444	6.6780	0.017051
9.4980	6.6780	0.019686
9.9744	6.6780	0.021744
10.4747	6.6780	0.022979
11.0000	6.6780	0.011649
6.1145	6.7797	0.001069
6.4211	6.7797	0.000795
6.7432	6.7797	0.001084
7.0814	6.7797	0.001339
7.4365	6.7797	0.003768
7.8095	6.7797	0.002788
8.2012	6.7797	0.007635
8.6125	6.7797	0.004518
9.0444	6.7797	0.010358
9.4980	6.7797	0.011958
9.9744	6.7797	0.013208
10.4747	6.7797	0.013958
11.0000	6.7797	0.007076
6.1145	6.8814	0.001009
6.4211	6.8814	0.000717
6.7432	6.8814	0.000861
7.0814	6.8814	0.001022
7.4365	6.8814	0.002686
7.8095	6.8814	0.001671
8.2012	6.8814	0.004151
8.6125	6.8814	0.002611
9.0444	6.8814	0.005986
9.4980	6.8814	0.006911
9.9744	6.8814	0.007633
10.4747	6.8814	0.008067
11.0000	6.8814	0.004090
6.1145	6.9831	0.000375
6.4211	6.9831	0.000389
6.7432	6.9831	0.000511
7.0814	6.9831	0.000607
7.4365	6.9831	0.001541
7.8095	6.9831	0.000951
8.2012	6.9831	0.002293
8.6125	6.9831	0.001348
9.0444	6.9831	0.003091
9.4980	6.9831	0.003568
9.9744	6.9831	0.003941
10.4747	6.9831	0.004165
11.0000	6.9831	0.002112
6.1145	7.0847	0.000022
6.4211	7.0847	0.000057
6.7432	7.0847	0.000101
7.0814	7.0847	0.000147
7.4365	7.0847	0.000418
7.8095	7.0847	0.000258
8.2012	7.0847	0.000622
8.6125	7.0847	0.000365
9.0444	7.0847	0.000838
9.4980	7.0847	0.000967
9.9744	7.0847	0.001068
10.4747	7.0847	0.001129
11.0000	7.0847	0.000572
