NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.35
Barycenter M:6.84
Barycenter H:21.12
H[km]	Mag	PDF
4.8384	9.2727	0.000007
4.8384	9.3737	0.000035
4.8384	9.4747	0.000050
5.8924	9.0707	0.000010
5.8924	9.1717	0.000034
5.8924	9.2727	0.000093
5.8924	9.3737	0.000085
5.8924	9.4747	0.000066
6.7197	8.9697	0.000042
6.7197	9.0707	0.000079
6.7197	9.1717	0.000157
6.7197	9.2727	0.000106
6.7197	9.3737	0.000075
6.7197	9.4747	0.000014
7.1760	8.7677	0.000008
7.1760	8.8687	0.000078
7.1760	8.9697	0.000128
7.1760	9.0707	0.000219
7.1760	9.1717	0.000128
7.1760	9.2727	0.000078
7.1760	9.3737	0.000008
8.1835	8.6667	0.000025
8.1835	8.7677	0.000134
8.1835	8.8687	0.000194
8.1835	8.9697	0.000303
8.1835	9.0707	0.000173
8.1835	9.1717	0.000112
8.1835	9.2727	0.000029
8.1835	9.3737	0.000015
8.1835	9.4747	0.000004
8.7392	8.5657	0.000031
8.7392	8.6667	0.000167
8.7392	8.7677	0.000343
8.7392	8.8687	0.000302
8.7392	8.9697	0.000288
8.7392	9.0707	0.000149
8.7392	9.1717	0.000084
8.7392	9.2727	0.000036
8.7392	9.3737	0.000010
9.3325	8.6667	0.000006
9.3325	8.7677	0.000030
9.3325	8.8687	0.000125
9.3325	8.9697	0.000167
9.3325	9.0707	0.000226
9.3325	9.1717	0.000140
9.3325	9.2727	0.000078
9.3325	9.3737	0.000013
9.9662	8.4646	0.000068
9.9662	8.5657	0.000172
9.9662	8.6667	0.000435
9.9662	8.7677	0.000526
9.9662	8.8687	0.000682
9.9662	8.9697	0.000674
9.9662	9.0707	0.000446
9.9662	9.1717	0.000253
9.9662	9.2727	0.000045
10.6429	8.3636	0.000042
10.6429	8.4646	0.000233
10.6429	8.5657	0.000394
10.6429	8.6667	0.000804
10.6429	8.7677	0.000853
10.6429	8.8687	0.000983
10.6429	8.9697	0.000674
10.6429	9.0707	0.000383
10.6429	9.1717	0.000086
10.6429	9.2727	0.000004
11.3655	8.2626	0.000046
11.3655	8.3636	0.000169
11.3655	8.4646	0.000525
11.3655	8.5657	0.000759
11.3655	8.6667	0.001333
11.3655	8.7677	0.001218
11.3655	8.8687	0.001167
11.3655	8.9697	0.000579
11.3655	9.0707	0.000208
11.3655	9.1717	0.000028
12.1372	8.1616	0.000019
12.1372	8.2626	0.000207
12.1372	8.3636	0.000406
12.1372	8.4646	0.001024
12.1372	8.5657	0.001321
12.1372	8.6667	0.001949
12.1372	8.7677	0.001556
12.1372	8.8687	0.001175
12.1372	8.9697	0.000432
12.1372	9.0707	0.000102
12.1372	9.1717	0.000008
12.9612	8.1616	0.000145
12.9612	8.2626	0.000343
12.9612	8.3636	0.000977
12.9612	8.4646	0.001636
12.9612	8.5657	0.002466
12.9612	8.6667	0.002544
12.9612	8.7677	0.001911
12.9612	8.8687	0.000996
12.9612	8.9697	0.000339
12.9612	9.0707	0.000073
12.9612	9.1717	0.000005
13.8413	8.0606	0.000085
13.8413	8.1616	0.000279
13.8413	8.2626	0.000850
13.8413	8.3636	0.001615
13.8413	8.4646	0.002609
13.8413	8.5657	0.003117
13.8413	8.6667	0.002632
13.8413	8.7677	0.001732
13.8413	8.8687	0.000774
13.8413	8.9697	0.000299
13.8413	9.0707	0.000077
13.8413	9.1717	0.000005
14.7810	7.9596	0.000153
14.7810	8.0606	0.000388
14.7810	8.1616	0.001053
14.7810	8.2626	0.001760
14.7810	8.3636	0.002906
14.7810	8.4646	0.003818
14.7810	8.5657	0.003936
14.7810	8.6667	0.003119
14.7810	8.7677	0.001922
14.7810	8.8687	0.000916
14.7810	8.9697	0.000356
14.7810	9.0707	0.000057
15.7846	7.8586	0.000031
15.7846	7.9596	0.000180
15.7846	8.0606	0.000530
15.7846	8.1616	0.001425
15.7846	8.2626	0.003315
15.7846	8.3636	0.004974
15.7846	8.4646	0.006187
15.7846	8.5657	0.005209
15.7846	8.6667	0.003684
15.7846	8.7677	0.001939
15.7846	8.8687	0.000790
15.7846	8.9697	0.000199
15.7846	9.0707	0.000015
16.8564	7.7576	0.000010
16.8564	7.8586	0.000065
16.8564	7.9596	0.000381
16.8564	8.0606	0.001442
16.8564	8.1616	0.003867
16.8564	8.2626	0.006089
16.8564	8.3636	0.008277
16.8564	8.4646	0.006826
16.8564	8.5657	0.005200
16.8564	8.6667	0.002767
16.8564	8.7677	0.001228
16.8564	8.8687	0.000361
16.8564	8.9697	0.000035
18.0009	7.6566	0.000006
18.0009	7.7576	0.000092
18.0009	7.8586	0.000287
18.0009	7.9596	0.001320
18.0009	8.0606	0.002876
18.0009	8.1616	0.006101
18.0009	8.2626	0.007930
18.0009	8.3636	0.008824
18.0009	8.4646	0.007390
18.0009	8.5657	0.004691
18.0009	8.6667	0.002243
18.0009	8.7677	0.000692
18.0009	8.8687	0.000071
18.0009	8.9697	0.000004
19.2231	7.6566	0.000018
19.2231	7.7576	0.000127
19.2231	7.8586	0.000819
19.2231	7.9596	0.003004
19.2231	8.0606	0.005805
19.2231	8.1616	0.009735
19.2231	8.2626	0.011071
19.2231	8.3636	0.010512
19.2231	8.4646	0.007074
19.2231	8.5657	0.003702
19.2231	8.6667	0.001207
19.2231	8.7677	0.000212
19.2231	8.8687	0.000018
20.5282	7.5556	0.000003
20.5282	7.6566	0.000053
20.5282	7.7576	0.000474
20.5282	7.8586	0.002209
20.5282	7.9596	0.004443
20.5282	8.0606	0.009121
20.5282	8.1616	0.011235
20.5282	8.2626	0.013096
20.5282	8.3636	0.012921
20.5282	8.4646	0.014279
20.5282	8.5657	0.015125
20.5282	8.6667	0.012385
20.5282	8.7677	0.006782
20.5282	8.8687	0.002067
20.5282	8.9697	0.000067
21.9221	7.5556	0.000011
21.9221	7.6566	0.000311
21.9221	7.7576	0.001267
21.9221	7.8586	0.003475
21.9221	7.9596	0.007308
21.9221	8.0606	0.011994
21.9221	8.1616	0.016475
21.9221	8.2626	0.024466
21.9221	8.3636	0.034042
21.9221	8.4646	0.040951
21.9221	8.5657	0.033587
21.9221	8.6667	0.017526
21.9221	8.7677	0.004422
21.9221	8.8687	0.000083
23.4105	7.5556	0.000116
23.4105	7.6566	0.000606
23.4105	7.7576	0.001844
23.4105	7.8586	0.004806
23.4105	7.9596	0.009806
23.4105	8.0606	0.016200
23.4105	8.1616	0.029948
23.4105	8.2626	0.047002
23.4105	8.3636	0.057260
23.4105	8.4646	0.048290
23.4105	8.5657	0.024081
23.4105	8.6667	0.006073
25.0000	7.5556	0.000136
25.0000	7.6566	0.000537
25.0000	7.7576	0.002018
25.0000	7.8586	0.005449
25.0000	7.9596	0.009771
25.0000	8.0606	0.022274
25.0000	8.1616	0.039934
25.0000	8.2626	0.054158
25.0000	8.3636	0.049180
25.0000	8.4646	0.028061
25.0000	8.5657	0.008613
25.0000	8.6667	0.000235
