NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.36
Barycenter M:6.85
Barycenter H:21.68
H[km]	Mag	PDF
9.3325	6.0678	0.000020
9.9662	6.0678	0.000030
10.6429	6.0678	0.000042
11.3655	6.0678	0.000058
12.1372	6.0678	0.000076
12.9612	6.0678	0.000207
13.8413	6.0678	0.000129
14.7810	6.0678	0.000288
15.7846	6.0678	0.000147
16.8564	6.0678	0.000269
18.0009	6.0678	0.000207
19.2231	6.0678	0.000134
20.5282	6.0678	0.000072
21.9221	6.0678	0.000020
9.3325	6.1695	0.000132
9.9662	6.1695	0.000197
10.6429	6.1695	0.000281
11.3655	6.1695	0.000432
12.1372	6.1695	0.000573
12.9612	6.1695	0.001472
13.8413	6.1695	0.001177
14.7810	6.1695	0.002131
15.7846	6.1695	0.001562
16.8564	6.1695	0.002483
18.0009	6.1695	0.001728
19.2231	6.1695	0.001541
20.5282	6.1695	0.000984
21.9221	6.1695	0.000563
23.4105	6.1695	0.000122
9.3325	6.2712	0.000167
9.9662	6.2712	0.000249
10.6429	6.2712	0.000355
11.3655	6.2712	0.000619
12.1372	6.2712	0.000832
12.9612	6.2712	0.002015
13.8413	6.2712	0.002037
14.7810	6.2712	0.003123
15.7846	6.2712	0.003162
16.8564	6.2712	0.004732
18.0009	6.2712	0.003459
19.2231	6.2712	0.003884
20.5282	6.2712	0.003667
21.9221	6.2712	0.002587
23.4105	6.2712	0.001706
25.0000	6.2712	0.000642
9.3325	6.3729	0.000049
9.9662	6.3729	0.000073
10.6429	6.3729	0.000104
11.3655	6.3729	0.000293
12.1372	6.3729	0.000411
12.9612	6.3729	0.000828
13.8413	6.3729	0.001482
14.7810	6.3729	0.001635
15.7846	6.3729	0.003127
16.8564	6.3729	0.004723
18.0009	6.3729	0.004111
19.2231	6.3729	0.005694
20.5282	6.3729	0.007796
21.9221	6.3729	0.006604
23.4105	6.3729	0.006034
25.0000	6.3729	0.002912
9.9662	6.4746	0.000011
10.6429	6.4746	0.000065
11.3655	6.4746	0.000232
12.1372	6.4746	0.000222
12.9612	6.4746	0.000295
13.8413	6.4746	0.000939
14.7810	6.4746	0.000682
15.7846	6.4746	0.002066
16.8564	6.4746	0.002888
18.0009	6.4746	0.003935
19.2231	6.4746	0.005368
20.5282	6.4746	0.009900
21.9221	6.4746	0.011446
23.4105	6.4746	0.012759
25.0000	6.4746	0.008921
9.9662	6.5763	0.000083
10.6429	6.5763	0.000259
11.3655	6.5763	0.000665
12.1372	6.5763	0.000632
12.9612	6.5763	0.000824
13.8413	6.5763	0.002261
14.7810	6.5763	0.001426
15.7846	6.5763	0.003271
16.8564	6.5763	0.002272
18.0009	6.5763	0.004569
19.2231	6.5763	0.005179
20.5282	6.5763	0.009818
21.9221	6.5763	0.014753
23.4105	6.5763	0.018037
25.0000	6.5763	0.014994
9.9662	6.6780	0.000122
10.6429	6.6780	0.000297
11.3655	6.6780	0.000674
12.1372	6.6780	0.000686
12.9612	6.6780	0.000895
13.8413	6.6780	0.002450
14.7810	6.6780	0.001610
15.7846	6.6780	0.003773
16.8564	6.6780	0.002601
18.0009	6.6780	0.005294
19.2231	6.6780	0.005488
20.5282	6.6780	0.008493
21.9221	6.6780	0.013241
23.4105	6.6780	0.015771
25.0000	6.6780	0.012433
9.9662	6.7797	0.000120
10.6429	6.7797	0.000243
11.3655	6.7797	0.000489
12.1372	6.7797	0.000535
12.9612	6.7797	0.000698
13.8413	6.7797	0.001911
14.7810	6.7797	0.001340
15.7846	6.7797	0.003398
16.8564	6.7797	0.002991
18.0009	6.7797	0.006306
19.2231	6.7797	0.007337
20.5282	6.7797	0.009652
21.9221	6.7797	0.014033
23.4105	6.7797	0.016124
25.0000	6.7797	0.010013
9.9662	6.8814	0.000033
10.6429	6.8814	0.000053
11.3655	6.8814	0.000085
12.1372	6.8814	0.000107
12.9612	6.8814	0.000139
13.8413	6.8814	0.000382
14.7810	6.8814	0.000321
15.7846	6.8814	0.001056
16.8564	6.8814	0.001549
18.0009	6.8814	0.003510
19.2231	6.8814	0.005150
20.5282	6.8814	0.012319
21.9221	6.8814	0.025038
23.4105	6.8814	0.032694
25.0000	6.8814	0.026401
14.7810	6.9831	0.000106
15.7846	6.9831	0.000415
16.8564	6.9831	0.001025
18.0009	6.9831	0.002273
19.2231	6.9831	0.003224
20.5282	6.9831	0.018309
21.9221	6.9831	0.045877
23.4105	6.9831	0.062811
25.0000	6.9831	0.057060
14.7810	7.0847	0.000105
15.7846	7.0847	0.000313
16.8564	7.0847	0.001021
18.0009	7.0847	0.001817
19.2231	7.0847	0.002513
20.5282	7.0847	0.019421
21.9221	7.0847	0.050138
23.4105	7.0847	0.069669
25.0000	7.0847	0.064363
14.7810	7.1864	0.000071
15.7846	7.1864	0.000213
16.8564	7.1864	0.000695
18.0009	7.1864	0.001191
19.2231	7.1864	0.001640
20.5282	7.1864	0.009014
21.9221	7.1864	0.022374
23.4105	7.1864	0.031016
25.0000	7.1864	0.028107
14.7810	7.2881	0.000009
15.7846	7.2881	0.000028
16.8564	7.2881	0.000214
18.0009	7.2881	0.000289
19.2231	7.2881	0.000519
20.5282	7.2881	0.001374
21.9221	7.2881	0.002801
23.4105	7.2881	0.003984
25.0000	7.2881	0.003187
